"Cocunut","Mortgage_YN","AGE_AT_ORIGINATION","AGE","YEARS_WITH_BANK","MARTIAL_STATUS","EDUCATION","EMPLOYMENT","GENDER","CUST_INCOME","CURRENT_ADDRESS_DATE","CURRENT_JOB_DATE","CURRENT_WITH_BANK_DATE","CURRENT_BALANCE_EUR","YEARS_WITH_CURRENT_JOB"
74682,"N",NA,32,2,"M","HGH","PVE","M",2019.007692,2015-10-01,2015-05-01,2015-02-04,2268.491692,8.21902806297057
74690,"N",NA,67,1,"W","BCR","RET","F",353.8461538,2007-07-12,9999-10-01,2015-12-02,2354.315154,15.8110882956879
74696,"N",NA,59,10,"D","HGH","PVE","F",200.2793077,2013-01-01,2000-12-01,2007-01-31,199.6786923,22.6310746064339
74697,"N",NA,62,0,"M","HGH","STE","F",307.6923077,1980-01-01,1979-03-01,2016-09-05,237.9459231,44.3860369609856
74704,"N",NA,39,12,"M","HGH","PVE","M",384.6153846,1996-10-24,2004-07-01,2004-09-01,2290.996538,19.0499657768652
74710,"N",NA,55,13,"M","BCR","PVE","M",2066.761538,2008-07-17,2012-01-16,2004-03-09,2228.960462,11.5071868583162
74715,"N",NA,46,9,"M","HGH","STE","F",288.4163077,1971-02-23,2002-04-26,2008-03-13,1203.951462,21.2320328542094
74720,"N",NA,70,13,"M","HGH","RET","M",332.6549231,1950-02-14,9999-10-01,2003-07-29,2333.943308,15.8110882956879
74723,"N",NA,33,5,"M","BCR","PVE","M",943.5769231,2014-09-01,2013-12-08,2011-12-19,4539.095846,9.61259411362081
74725,"N",NA,55,9,"M","HGH","PVE","M",609.6639231,1995-01-01,1983-06-22,2007-12-13,1208.362385,40.0766598220397
74731,"N",NA,49,12,"M","PRS","PVE","M",353.5424615,1968-06-30,2005-10-19,2005-06-20,6941.472538,17.7494866529774
74733,"N",NA,47,10,"M","HGH","STE","M",679.7153846,1970-02-28,1991-07-01,2007-03-02,2387.174923,32.0520191649555
74736,"N",NA,68,3,"M","HGH","RET","M",185.4346923,1984-05-01,9999-10-01,2014-06-10,2354.315154,15.8110882956879
74739,"N",NA,51,1,"M","HGH","PVE","M",171.2042308,1996-04-20,2007-11-01,2015-09-23,1208.819615,15.7152635181383
74741,"N",NA,43,2,"M","HGH","PVE","M",307.6915385,2000-12-31,2015-06-29,2015-05-27,2288.700154,8.05749486652977
74743,"N",NA,53,2,"M","HGH","RET","F",200.3713846,1970-06-01,9999-10-01,2015-07-02,203.3874615,15.8110882956879
74744,"N",NA,66,2,"W","HGH","RET","F",316.6146154,2010-01-01,9999-10-01,2015-03-30,2354.315154,15.8110882956879
74745,"N",NA,39,4,"M","HGH","STE","M",405.7,1978-04-13,2013-10-07,2012-07-12,2288.700154,9.782340862423
74747,"N",NA,37,0,"M","HGH","STE","M",653.8461538,1981-01-01,2004-01-01,2016-08-19,122.7736154,19.5482546201232
74748,"N",NA,65,12,"W","BCR","RET","F",247.8433846,1982-01-01,9999-10-01,2005-03-31,4838.172462,15.8110882956879
74750,"N",NA,63,0,"M","BCR","STE","F",769.2307692,1978-01-01,1985-05-05,2016-08-26,394.9410769,38.2067077344285
74752,"N",NA,49,12,"M","BCR","PVE","M",993.1212308,2014-07-30,2003-10-24,2004-07-20,4577.400385,19.7371663244353
74754,"N",NA,63,13,"M","HGH","STE","F",585.5307692,1980-05-04,2010-01-01,2004-06-12,6073.809077,13.5468856947296
74756,"N",NA,65,12,"M","HGH","RET","M",256.9466154,1985-01-01,9999-10-01,2004-09-07,4543.115308,15.8110882956879
74757,"N",NA,32,2,"S","HGH","STE","M",341.8422308,2013-07-01,2013-12-01,2014-11-25,2288.700154,9.63175906913073
74761,"N",NA,25,2,"S","HGH","PVE","F",220.0846154,2013-01-01,2015-08-01,2015-05-27,587.0103077,7.96714579055442
74764,"N",NA,42,13,"M","BCR","STE","F",464.3492308,2007-04-14,2012-01-15,2004-03-15,1258.355769,11.5099247091034
74767,"N",NA,44,11,"M","HGH","STE","M",354.4316923,1973-06-29,2001-05-09,2005-07-07,2307.692308,22.1957563312799
74769,"N",NA,51,0,"M","HGH","STE","M",362.6076923,2010-01-01,1985-07-25,2016-08-25,2269.547846,37.9849418206708
74773,"N",NA,24,0,"S","HGH","PVE","M",228.962,1993-10-03,2016-03-11,2016-08-30,4539.095846,7.35660506502396
74775,"N",NA,31,3,"M","HGH","PVE","F",177.3846154,1986-03-15,2011-04-01,2013-11-19,1403.916846,12.3011635865845
74777,"N",NA,43,0,"M","BCR","OTH","M",599.7505385,9999-10-01,9999-10-01,2016-08-29,3037.314385,15.8110882956879
74781,"N",NA,45,8,"S","BCR","STE","F",318.3615385,1972-11-11,1994-12-01,2008-07-10,6686.824462,28.6324435318275
74782,"N",NA,36,2,"M","HGH","PVE","M",454.6781538,1981-06-11,2012-11-26,2014-11-10,1565.959615,10.6447638603696
74783,"N",NA,66,0,"M","HGH","RET","M",423.76,1990-01-01,9999-10-01,2016-08-19,2337.281462,15.8110882956879
74789,"N",NA,48,11,"M","HGH","PVE","M",413.1129231,1969-02-03,2010-02-01,2005-09-09,314.4922308,13.4620123203285
74792,"N",NA,55,3,"W","HGH","RET","F",146.3369231,1962-07-17,9999-10-01,2013-09-04,2254.073769,15.8110882956879
74794,"N",NA,57,13,"M","HGH","RET","F",166.8461538,2006-04-28,9999-10-01,2004-01-09,3601.843846,15.8110882956879
74804,"N",NA,39,12,"D","HGH","STE","F",276.8615385,2002-10-13,2002-12-12,2005-04-28,2228.960462,20.6023271731691
74809,"N",NA,53,11,"M","HGH","PVE","M",500.1335385,2006-01-01,2010-12-15,2005-07-11,4589.134385,12.5941136208077
74812,"N",NA,50,10,"M","BCR","STE","F",422.1298462,1997-08-09,1995-09-01,2007-02-26,2288.700154,27.8822724161533
74813,"N",NA,45,3,"M","HGH","STE","M",253.7615385,1990-06-01,1991-08-01,2014-01-17,801.6266923,31.9671457905544
74815,"N",NA,47,11,"M","HGH","PVE","F",244.3,1970-11-02,2011-02-19,2006-03-13,2288.700154,12.4134154688569
74816,"N",NA,28,0,"M","BCR","PVE","F",615.3846154,1989-01-22,2013-02-01,2016-08-30,288.9782308,10.4613278576318
74820,"N",NA,64,1,"M","HGH","RET","F",172.9940769,1976-11-01,2000-12-15,2015-09-28,2228.960462,22.5927446954141
74821,"N",NA,33,10,"M","HGH","PVE","F",483.1296154,1984-02-25,2015-01-28,2006-12-26,2288.700154,8.47364818617385
74822,"N",NA,45,0,"M","HGH","PVE","F",175.4153846,1994-04-14,2015-08-01,2016-08-24,1237.647769,7.96714579055442
74826,"N",NA,44,0,"S","HGH","PVE","F",188.2619231,2000-07-10,2016-03-18,2016-08-31,2288.700154,7.33744010951403
74830,"N",NA,68,4,"W","HGH","RET","M",159.3748462,1972-01-01,9999-10-01,2012-11-05,1947.734538,15.8110882956879
